"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2021";"0000";"18,7";"19,8";"18,1";"50,0";"55,0";"46,0";"8,0";"9,5";"7,9";"988,1";"988,1";"987,4";"2,4";"157,0";"4,3";"";"0,4"
"01/01/2021";"0100";"16,2";"18,7";"15,8";"68,0";"68,0";"50,0";"10,2";"10,2";"8,0";"989,0";"989,0";"988,1";"4,4";"121,0";"6,7";"";"0,6"
"01/01/2021";"0200";"16,2";"16,8";"16,1";"79,0";"79,0";"68,0";"12,6";"12,6";"10,8";"989,2";"989,2";"989,0";"4,6";"111,0";"7,2";"";"0,4"
"01/01/2021";"0300";"15,8";"16,5";"15,7";"81,0";"82,0";"78,0";"12,6";"12,8";"12,4";"989,6";"989,6";"989,2";"3,9";"101,0";"6,8";"";"0,6"
"01/01/2021";"0400";"15,1";"16,2";"15,1";"81,0";"83,0";"78,0";"11,8";"12,6";"11,7";"989,0";"989,6";"989,0";"2,9";"51,0";"5,7";"";"0,4"
"01/01/2021";"0500";"14,2";"15,1";"14,2";"81,0";"83,0";"79,0";"11,1";"12,1";"10,9";"989,0";"989,1";"988,9";"2,8";"30,0";"5,0";"";"0,4"
"01/01/2021";"0600";"14,1";"14,7";"13,5";"79,0";"84,0";"78,0";"10,6";"11,5";"10,3";"989,0";"989,1";"988,9";"2,5";"20,0";"4,0";"";"0,4"
"01/01/2021";"0700";"13,0";"14,1";"12,0";"88,0";"88,0";"79,0";"11,0";"11,0";"9,0";"989,2";"989,2";"989,0";"3,2";"357,0";"4,4";"";"0,4"
"01/01/2021";"0800";"13,1";"13,2";"12,9";"86,0";"88,0";"86,0";"10,8";"11,1";"10,6";"989,4";"989,5";"989,1";"3,7";"5,0";"4,9";"";"0,4"
"01/01/2021";"0900";"16,0";"16,0";"12,9";"75,0";"86,0";"75,0";"11,6";"11,7";"10,7";"989,8";"989,8";"989,4";"4,1";"2,0";"6,0";"287,50";"0,4"
"01/01/2021";"1000";"18,9";"19,0";"16,0";"62,0";"75,0";"62,0";"11,6";"12,3";"11,2";"990,2";"990,2";"989,8";"3,5";"355,0";"5,7";"1119,70";"0,6"
"01/01/2021";"1100";"21,5";"21,6";"18,9";"53,0";"63,0";"52,0";"11,6";"12,2";"10,8";"990,4";"990,4";"990,1";"4,5";"356,0";"6,1";"1979,60";"0,4"
