"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2018";"0000";"24,1";"24,3";"23,7";"74,0";"74,0";"71,0";"19,1";"19,1";"18,4";"981,2";"981,2";"980,3";"5,7";"144,0";"8,5";"";"0,0"
"01/01/2018";"0100";"23,0";"24,4";"23,0";"78,0";"78,0";"72,0";"19,0";"19,3";"18,8";"982,2";"982,2";"981,2";"5,1";"124,0";"10,9";"";"0,0"
"01/01/2018";"0200";"20,8";"23,1";"20,8";"89,0";"89,0";"78,0";"19,0";"19,1";"18,4";"982,6";"983,0";"982,2";"6,5";"127,0";"11,4";"";"0,0"
"01/01/2018";"0300";"21,1";"21,1";"20,7";"91,0";"91,0";"89,0";"19,5";"19,5";"19,0";"983,1";"983,1";"982,5";"3,3";"158,0";"9,2";"";"0,0"
"01/01/2018";"0400";"21,9";"22,0";"21,1";"89,0";"91,0";"87,0";"20,0";"20,0";"19,4";"982,8";"983,2";"982,5";"5,1";"134,0";"9,2";"";"0,2"
"01/01/2018";"0500";"20,6";"21,9";"20,6";"92,0";"93,0";"89,0";"19,3";"20,2";"19,3";"981,3";"983,0";"981,3";"5,6";"123,0";"9,0";"";"1,6"
"01/01/2018";"0600";"20,7";"20,8";"20,2";"88,0";"93,0";"88,0";"18,7";"19,4";"18,7";"981,5";"981,5";"980,9";"2,3";"120,0";"7,7";"";"0,0"
"01/01/2018";"0700";"20,4";"20,9";"20,0";"81,0";"91,0";"81,0";"17,0";"19,0";"16,8";"980,8";"981,6";"980,8";"4,2";"92,0";"6,2";"";"0,0"
"01/01/2018";"0800";"19,0";"20,5";"18,9";"90,0";"90,0";"81,0";"17,3";"18,0";"17,0";"982,1";"982,1";"980,7";"4,6";"101,0";"8,0";"";"3,2"
"01/01/2018";"0900";"18,7";"19,2";"18,7";"94,0";"94,0";"90,0";"17,7";"18,3";"17,4";"982,2";"983,4";"982,1";"4,7";"52,0";"8,0";"2,40";"7,6"
